	time	V(na)	V(nt)	I(Rgnd)	I(Rrad)	power
0	1970-01-01 00:00:00.000000000	1.887700688e-05	1.9145515966428573e-05	2.621806293892857e-06	1.7631585214285715e-12	3.3278451881742416e-23
1	1970-01-01 00:00:00.000000001	0.00018124845444444443	0.00018190372000000002	2.517339777777778e-05	2.3572948333333333e-13	6.335111704498062e-25
2	1970-01-01 00:00:00.000000002	0.00053317054	0.0005338833000000001	7.4051458e-05	7.2559796e-16	1.0216992429887644e-27
3	1970-01-01 00:00:00.000000003					
4	1970-01-01 00:00:00.000000004					
5	1970-01-01 00:00:00.000000005					
6	1970-01-01 00:00:00.000000006					
7	1970-01-01 00:00:00.000000007					
8	1970-01-01 00:00:00.000000008					
9	1970-01-01 00:00:00.000000009					
10	1970-01-01 00:00:00.000000010	0.00314694	0.003147654	0.0004370751	3.7506200000000005e-17	1.2009126283162284e-32
11	1970-01-01 00:00:00.000000011					
12	1970-01-01 00:00:00.000000012					
13	1970-01-01 00:00:00.000000013					
14	1970-01-01 00:00:00.000000014					
15	1970-01-01 00:00:00.000000015					
16	1970-01-01 00:00:00.000000016					
17	1970-01-01 00:00:00.000000017					
18	1970-01-01 00:00:00.000000018					
19	1970-01-01 00:00:00.000000019					
20	1970-01-01 00:00:00.000000020	0.006465929	0.006466642	0.0008980456	1.230506e-16	1.2926256001899332e-31
21	1970-01-01 00:00:00.000000021					
22	1970-01-01 00:00:00.000000022					
23	1970-01-01 00:00:00.000000023					
24	1970-01-01 00:00:00.000000024					
25	1970-01-01 00:00:00.000000025					
26	1970-01-01 00:00:00.000000026					
27	1970-01-01 00:00:00.000000027					
28	1970-01-01 00:00:00.000000028					
29	1970-01-01 00:00:00.000000029					
30	1970-01-01 00:00:00.000000030	0.009784916	0.009785632	0.001359016	1.832502e-16	2.8667788782494155e-31
31	1970-01-01 00:00:00.000000031					
32	1970-01-01 00:00:00.000000032					
33	1970-01-01 00:00:00.000000033					
34	1970-01-01 00:00:00.000000034					
35	1970-01-01 00:00:00.000000035					
36	1970-01-01 00:00:00.000000036					
37	1970-01-01 00:00:00.000000037					
38	1970-01-01 00:00:00.000000038					
39	1970-01-01 00:00:00.000000039					
40	1970-01-01 00:00:00.000000040					
41	1970-01-01 00:00:00.000000041	0.0131039	0.01310462	0.001819987	2.467335e-16	5.197105347299482e-31
42	1970-01-01 00:00:00.000000042					
43	1970-01-01 00:00:00.000000043					
44	1970-01-01 00:00:00.000000044					
45	1970-01-01 00:00:00.000000045					
46	1970-01-01 00:00:00.000000046					
47	1970-01-01 00:00:00.000000047					
48	1970-01-01 00:00:00.000000048					
49	1970-01-01 00:00:00.000000049					
50	1970-01-01 00:00:00.000000050					
51	1970-01-01 00:00:00.000000051	0.01642289	0.01642361	0.002280957	3.118222e-16	8.300788416324152e-31
52	1970-01-01 00:00:00.000000052					
53	1970-01-01 00:00:00.000000053					
54	1970-01-01 00:00:00.000000054					
55	1970-01-01 00:00:00.000000055					
56	1970-01-01 00:00:00.000000056					
57	1970-01-01 00:00:00.000000057					
58	1970-01-01 00:00:00.000000058					
59	1970-01-01 00:00:00.000000059					
60	1970-01-01 00:00:00.000000060					
61	1970-01-01 00:00:00.000000061	0.01974188	0.0197426	0.002741928	3.790512e-16	1.2265945569344334e-30
62	1970-01-01 00:00:00.000000062					
63	1970-01-01 00:00:00.000000063					
64	1970-01-01 00:00:00.000000064					
65	1970-01-01 00:00:00.000000065					
66	1970-01-01 00:00:00.000000066					
67	1970-01-01 00:00:00.000000067					
68	1970-01-01 00:00:00.000000068					
69	1970-01-01 00:00:00.000000069					
70	1970-01-01 00:00:00.000000070					
71	1970-01-01 00:00:00.000000071	0.02306087	0.02306159	0.003202898	4.492963e-16	1.7233399892585317e-30
72	1970-01-01 00:00:00.000000072					
73	1970-01-01 00:00:00.000000073					
74	1970-01-01 00:00:00.000000074					
75	1970-01-01 00:00:00.000000075					
76	1970-01-01 00:00:00.000000076					
77	1970-01-01 00:00:00.000000077					
78	1970-01-01 00:00:00.000000078					
79	1970-01-01 00:00:00.000000079					
80	1970-01-01 00:00:00.000000080					
81	1970-01-01 00:00:00.000000081					
82	1970-01-01 00:00:00.000000082	0.02637986	0.02638059	0.003663869	5.232385e-16	2.337247292530768e-30
83	1970-01-01 00:00:00.000000083					
84	1970-01-01 00:00:00.000000084					
85	1970-01-01 00:00:00.000000085					
86	1970-01-01 00:00:00.000000086					
87	1970-01-01 00:00:00.000000087					
88	1970-01-01 00:00:00.000000088					
89	1970-01-01 00:00:00.000000089					
90	1970-01-01 00:00:00.000000090					
91	1970-01-01 00:00:00.000000091					
92	1970-01-01 00:00:00.000000092	0.02969884	0.02969958	0.004124839	6.009752e-16	3.083318457695397e-30
93	1970-01-01 00:00:00.000000093					
94	1970-01-01 00:00:00.000000094					
95	1970-01-01 00:00:00.000000095					
96	1970-01-01 00:00:00.000000096					
97	1970-01-01 00:00:00.000000097					
98	1970-01-01 00:00:00.000000098					
99	1970-01-01 00:00:00.000000099					
100	1970-01-01 00:00:00.000000100					
101	1970-01-01 00:00:00.000000101					
102	1970-01-01 00:00:00.000000102	0.03301783	0.03301857	0.00458581	6.845493e-16	4.000504311641993e-30
103	1970-01-01 00:00:00.000000103					
104	1970-01-01 00:00:00.000000104					
105	1970-01-01 00:00:00.000000105					
106	1970-01-01 00:00:00.000000106					
107	1970-01-01 00:00:00.000000107					
108	1970-01-01 00:00:00.000000108					
109	1970-01-01 00:00:00.000000109					
110	1970-01-01 00:00:00.000000110					
111	1970-01-01 00:00:00.000000111					
112	1970-01-01 00:00:00.000000112	0.03633682	0.03633756	0.00504678	7.738638e-16	5.1125120497739075e-30
113	1970-01-01 00:00:00.000000113					
114	1970-01-01 00:00:00.000000114					
115	1970-01-01 00:00:00.000000115					
116	1970-01-01 00:00:00.000000116					
117	1970-01-01 00:00:00.000000117					
118	1970-01-01 00:00:00.000000118					
