	time	V(na)	V(nt)	V(t)	I(Rgnd)	I(Rrad)	power
0	1970-01-01 00:00:00.000	4.6015045712285715e-05	4.636542779714286e-05	-26.295	6.390978843885714e-06	1.2478975714285713e-11	1.926959112268887e-21
1	1970-01-01 00:00:00.001	0.000382549075	0.00038325225	-26.295	5.313182e-05	3.2053179e-13	1.5514595552837901e-24
2	1970-01-01 00:00:00.002	0.0006306771666666666	0.0006313909	-26.295	8.759405333333333e-05	-5.5024188e-14	4.238132860883287e-26
3	1970-01-01 00:00:00.003						
4	1970-01-01 00:00:00.004						
5	1970-01-01 00:00:00.005						
6	1970-01-01 00:00:00.006						
7	1970-01-01 00:00:00.007						
8	1970-01-01 00:00:00.008						
9	1970-01-01 00:00:00.009						
10	1970-01-01 00:00:00.010	0.003146066	0.003146778	-26.295	0.0004369536	5.296169e-16	2.3945777967560123e-30
11	1970-01-01 00:00:00.011						
12	1970-01-01 00:00:00.012						
13	1970-01-01 00:00:00.013						
14	1970-01-01 00:00:00.014						
15	1970-01-01 00:00:00.015						
16	1970-01-01 00:00:00.016						
17	1970-01-01 00:00:00.017						
18	1970-01-01 00:00:00.018						
19	1970-01-01 00:00:00.019						
20	1970-01-01 00:00:00.020	0.006465054	0.006465767	-26.295	0.0008979241	1.067311e-15	9.724947203645177e-30
21	1970-01-01 00:00:00.021						
22	1970-01-01 00:00:00.022						
23	1970-01-01 00:00:00.023						
24	1970-01-01 00:00:00.024						
25	1970-01-01 00:00:00.025						
26	1970-01-01 00:00:00.026						
27	1970-01-01 00:00:00.027						
28	1970-01-01 00:00:00.028						
29	1970-01-01 00:00:00.029						
30	1970-01-01 00:00:00.030	0.009784042	0.009784756	-26.295	0.001358895	1.612041e-15	2.21848985971587e-29
31	1970-01-01 00:00:00.031						
32	1970-01-01 00:00:00.032						
33	1970-01-01 00:00:00.033						
34	1970-01-01 00:00:00.034						
35	1970-01-01 00:00:00.035						
36	1970-01-01 00:00:00.036						
37	1970-01-01 00:00:00.037						
38	1970-01-01 00:00:00.038						
39	1970-01-01 00:00:00.039						
40	1970-01-01 00:00:00.040	0.01310303	0.01310375	-26.295	0.001819865	2.168201e-15	4.013325293573534e-29
41	1970-01-01 00:00:00.041						
42	1970-01-01 00:00:00.042						
43	1970-01-01 00:00:00.043						
