	time	V(na)	V(nt)	V(t)	I(Rgnd)	I(Rrad)	power
0	1970-01-01 00:00:00.000000000	-0.00017580456780168132	0.004551794419864101	-26.29009307155323	-2.441730088042569e-05	-1.499707258400837e-06	7.201443765511757e-07
1	1970-01-01 00:00:00.000000001	0.00016135302	0.00016221254529411765	-26.292877647058823	2.2410142588235294e-05	-5.1334897e-12	3.278704344779491e-22
2	1970-01-01 00:00:00.000000002	0.0005350485714285714	0.0005357676714285714	-26.29453571428572	7.431230142857142e-05	-1.2226598e-13	1.8318927661815523e-25
3	1970-01-01 00:00:00.000000003	0.000838503575	0.00083921935	-26.294875	0.00011645885	-5.060353275e-16	6.518357717311183e-29
4	1970-01-01 00:00:00.000000004	0.0012343965	0.0012351125	-26.29497	0.00017144395000000002	-7.663283e-17	1.9750928606775047e-31
5	1970-01-01 00:00:00.000000005	0.0015335140000000001	0.0015342300000000001	-26.294995	0.00021298805000000002	3.1369995e-16	8.748308592588244e-31
6	1970-01-01 00:00:00.000000006	0.001832631	0.001833346	-26.295	0.00025453205000000004	4.3358575e-16	1.6050525159914176e-30
7	1970-01-01 00:00:00.000000007	0.002056967	0.002057683	-26.295	0.00028569	3.544707e-16	1.0726695865020292e-30
8	1970-01-01 00:00:00.000000008						
9	1970-01-01 00:00:00.000000009						
10	1970-01-01 00:00:00.000000010						
11	1970-01-01 00:00:00.000000011						
12	1970-01-01 00:00:00.000000012						
13	1970-01-01 00:00:00.000000013						
14	1970-01-01 00:00:00.000000014	0.004329048	0.004329764	-26.295	0.0006012567	7.213113e-16	4.441715657501151e-30
15	1970-01-01 00:00:00.000000015						
16	1970-01-01 00:00:00.000000016						
17	1970-01-01 00:00:00.000000017						
18	1970-01-01 00:00:00.000000018						
19	1970-01-01 00:00:00.000000019						
20	1970-01-01 00:00:00.000000020						
21	1970-01-01 00:00:00.000000021						
22	1970-01-01 00:00:00.000000022						
23	1970-01-01 00:00:00.000000023						
24	1970-01-01 00:00:00.000000024	0.007648036	0.007648753	-26.295	0.001062227	1.261622e-15	1.358825813513671e-29
25	1970-01-01 00:00:00.000000025						
26	1970-01-01 00:00:00.000000026						
27	1970-01-01 00:00:00.000000027						
28	1970-01-01 00:00:00.000000028						
29	1970-01-01 00:00:00.000000029						
30	1970-01-01 00:00:00.000000030						
31	1970-01-01 00:00:00.000000031						
32	1970-01-01 00:00:00.000000032						
33	1970-01-01 00:00:00.000000033						
34	1970-01-01 00:00:00.000000034	0.01096702	0.01096774	-26.295	0.001523198	1.810568e-15	2.7985621892161094e-29
35	1970-01-01 00:00:00.000000035						
36	1970-01-01 00:00:00.000000036						
37	1970-01-01 00:00:00.000000037						
38	1970-01-01 00:00:00.000000038						
39	1970-01-01 00:00:00.000000039						
40	1970-01-01 00:00:00.000000040						
41	1970-01-01 00:00:00.000000041						
42	1970-01-01 00:00:00.000000042						
43	1970-01-01 00:00:00.000000043						
44	1970-01-01 00:00:00.000000044	0.01428601	0.01428673	-26.295	0.001984168	2.372469e-15	4.805143636443906e-29
45	1970-01-01 00:00:00.000000045						
46	1970-01-01 00:00:00.000000046						
47	1970-01-01 00:00:00.000000047						
48	1970-01-01 00:00:00.000000048						
49	1970-01-01 00:00:00.000000049						
50	1970-01-01 00:00:00.000000050						
51	1970-01-01 00:00:00.000000051						
52	1970-01-01 00:00:00.000000052						
53	1970-01-01 00:00:00.000000053						
54	1970-01-01 00:00:00.000000054						
55	1970-01-01 00:00:00.000000055	0.017605	0.01760572	-26.295	0.002445139	2.951387e-15	7.436311975531597e-29
56	1970-01-01 00:00:00.000000056						
57	1970-01-01 00:00:00.000000057						
58	1970-01-01 00:00:00.000000058						
59	1970-01-01 00:00:00.000000059						
60	1970-01-01 00:00:00.000000060						
61	1970-01-01 00:00:00.000000061						
62	1970-01-01 00:00:00.000000062						
63	1970-01-01 00:00:00.000000063						
64	1970-01-01 00:00:00.000000064						
65	1970-01-01 00:00:00.000000065	0.02092399	0.02092471	-26.295	0.002906109	3.552353e-15	1.0773021144913105e-28
66	1970-01-01 00:00:00.000000066						
67	1970-01-01 00:00:00.000000067						
68	1970-01-01 00:00:00.000000068						
69	1970-01-01 00:00:00.000000069						
70	1970-01-01 00:00:00.000000070						
71	1970-01-01 00:00:00.000000071						
72	1970-01-01 00:00:00.000000072						
73	1970-01-01 00:00:00.000000073						
74	1970-01-01 00:00:00.000000074						
75	1970-01-01 00:00:00.000000075	0.02424297	0.0242437	-26.295	0.00336708	4.180954e-15	1.4922997290094033e-28
76	1970-01-01 00:00:00.000000076						
77	1970-01-01 00:00:00.000000077						
78	1970-01-01 00:00:00.000000078						
79	1970-01-01 00:00:00.000000079						
80	1970-01-01 00:00:00.000000080						
81	1970-01-01 00:00:00.000000081						
82	1970-01-01 00:00:00.000000082						
83	1970-01-01 00:00:00.000000083						
84	1970-01-01 00:00:00.000000084						
85	1970-01-01 00:00:00.000000085	0.02756196	0.0275627	-26.295	0.00382805	4.841661e-15	2.0012163273666858e-28
86	1970-01-01 00:00:00.000000086						
87	1970-01-01 00:00:00.000000087						
88	1970-01-01 00:00:00.000000088						
89	1970-01-01 00:00:00.000000089						
90	1970-01-01 00:00:00.000000090						
91	1970-01-01 00:00:00.000000091						
92	1970-01-01 00:00:00.000000092						
93	1970-01-01 00:00:00.000000093						
94	1970-01-01 00:00:00.000000094						
95	1970-01-01 00:00:00.000000095						
96	1970-01-01 00:00:00.000000096	0.03088095	0.03088169	-26.295	0.004289021	5.544328e-15	2.6242373445841264e-28
97	1970-01-01 00:00:00.000000097						
98	1970-01-01 00:00:00.000000098						
99	1970-01-01 00:00:00.000000099						
100	1970-01-01 00:00:00.000000100						
101	1970-01-01 00:00:00.000000101						
102	1970-01-01 00:00:00.000000102						
103	1970-01-01 00:00:00.000000103						
104	1970-01-01 00:00:00.000000104						
105	1970-01-01 00:00:00.000000105						
106	1970-01-01 00:00:00.000000106	0.03419994	0.03420068	-26.295	0.004749991	6.293935e-15	3.381814550239289e-28
107	1970-01-01 00:00:00.000000107						
108	1970-01-01 00:00:00.000000108						
109	1970-01-01 00:00:00.000000109						
110	1970-01-01 00:00:00.000000110						
111	1970-01-01 00:00:00.000000111						
112	1970-01-01 00:00:00.000000112						
113	1970-01-01 00:00:00.000000113						
114	1970-01-01 00:00:00.000000114						
115	1970-01-01 00:00:00.000000115						
116	1970-01-01 00:00:00.000000116	0.03751893	0.03751967	-26.295	0.005210962	7.10308e-15	4.307236252173969e-28
117	1970-01-01 00:00:00.000000117						
118	1970-01-01 00:00:00.000000118						
119	1970-01-01 00:00:00.000000119						
120	1970-01-01 00:00:00.000000120						
121	1970-01-01 00:00:00.000000121						
122	1970-01-01 00:00:00.000000122						
123	1970-01-01 00:00:00.000000123						
124	1970-01-01 00:00:00.000000124						
125	1970-01-01 00:00:00.000000125						
126	1970-01-01 00:00:00.000000126	0.04083791	0.04083867	-26.295	0.005671932	7.982735e-15	5.440122838308808e-28
127	1970-01-01 00:00:00.000000127						
128	1970-01-01 00:00:00.000000128						
129	1970-01-01 00:00:00.000000129						
130	1970-01-01 00:00:00.000000130						
131	1970-01-01 00:00:00.000000131						
132	1970-01-01 00:00:00.000000132						
133	1970-01-01 00:00:00.000000133						
134	1970-01-01 00:00:00.000000134						
135	1970-01-01 00:00:00.000000135						
136	1970-01-01 00:00:00.000000136						
137	1970-01-01 00:00:00.000000137	0.0441569	0.04415767	-26.295	0.006132903	8.947938e-15	6.8351997983539225e-28
138	1970-01-01 00:00:00.000000138						
139	1970-01-01 00:00:00.000000139						
140	1970-01-01 00:00:00.000000140						
141	1970-01-01 00:00:00.000000141						
142	1970-01-01 00:00:00.000000142						
143	1970-01-01 00:00:00.000000143						
144	1970-01-01 00:00:00.000000144						
145	1970-01-01 00:00:00.000000145						
146	1970-01-01 00:00:00.000000146						
147	1970-01-01 00:00:00.000000147	0.04747589	0.04747666	-26.295	0.006593873	1.00184e-14	8.568445062867201e-28
148	1970-01-01 00:00:00.000000148						
149	1970-01-01 00:00:00.000000149						
150	1970-01-01 00:00:00.000000150						
151	1970-01-01 00:00:00.000000151						
152	1970-01-01 00:00:00.000000152						
153	1970-01-01 00:00:00.000000153						
154	1970-01-01 00:00:00.000000154						
155	1970-01-01 00:00:00.000000155						
156	1970-01-01 00:00:00.000000156						
157	1970-01-01 00:00:00.000000157	0.05079487	0.05079566	-26.295	0.007054843	1.122236e-14	1.0751614242084752e-27
158	1970-01-01 00:00:00.000000158						
159	1970-01-01 00:00:00.000000159						
160	1970-01-01 00:00:00.000000160						
161	1970-01-01 00:00:00.000000161						
162	1970-01-01 00:00:00.000000162						
163	1970-01-01 00:00:00.000000163						
164	1970-01-01 00:00:00.000000164						
165	1970-01-01 00:00:00.000000165						
166	1970-01-01 00:00:00.000000166						
167	1970-01-01 00:00:00.000000167	0.05411386	0.05411465	-26.295	0.007515814	1.259112e-14	1.353424417468013e-27
168	1970-01-01 00:00:00.000000168						
169	1970-01-01 00:00:00.000000169						
170	1970-01-01 00:00:00.000000170						
171	1970-01-01 00:00:00.000000171						
172	1970-01-01 00:00:00.000000172						
173	1970-01-01 00:00:00.000000173						
174	1970-01-01 00:00:00.000000174						
175	1970-01-01 00:00:00.000000175						
176	1970-01-01 00:00:00.000000176						
177	1970-01-01 00:00:00.000000177	0.05743285	0.05743366	-26.295	0.007976784	1.417974e-14	1.7164921309539015e-27
178	1970-01-01 00:00:00.000000178						
179	1970-01-01 00:00:00.000000179						
180	1970-01-01 00:00:00.000000180						
181	1970-01-01 00:00:00.000000181						
182	1970-01-01 00:00:00.000000182						
183	1970-01-01 00:00:00.000000183						
184	1970-01-01 00:00:00.000000184						
185	1970-01-01 00:00:00.000000185						
186	1970-01-01 00:00:00.000000186						
187	1970-01-01 00:00:00.000000187						
188	1970-01-01 00:00:00.000000188	0.06075183	0.06075266	-26.295	0.008437755	1.605772e-14	2.2012686223355412e-27
189	1970-01-01 00:00:00.000000189						
190	1970-01-01 00:00:00.000000190						
191	1970-01-01 00:00:00.000000191						
192	1970-01-01 00:00:00.000000192						
193	1970-01-01 00:00:00.000000193						
194	1970-01-01 00:00:00.000000194						
195	1970-01-01 00:00:00.000000195						
196	1970-01-01 00:00:00.000000196						
197	1970-01-01 00:00:00.000000197						
198	1970-01-01 00:00:00.000000198	0.06407082	0.06407166	-26.295	0.008898725	1.834861e-14	2.874164501013338e-27
199	1970-01-01 00:00:00.000000199						
200	1970-01-01 00:00:00.000000200						
201	1970-01-01 00:00:00.000000201						
202	1970-01-01 00:00:00.000000202						
203	1970-01-01 00:00:00.000000203						
204	1970-01-01 00:00:00.000000204						
205	1970-01-01 00:00:00.000000205						
206	1970-01-01 00:00:00.000000206						
207	1970-01-01 00:00:00.000000207						
208	1970-01-01 00:00:00.000000208	0.06738981	0.06739067	-26.295	0.009359695	2.125194e-14	3.855692970279853e-27
209	1970-01-01 00:00:00.000000209						
210	1970-01-01 00:00:00.000000210						
211	1970-01-01 00:00:00.000000211						
212	1970-01-01 00:00:00.000000212						
213	1970-01-01 00:00:00.000000213						
214	1970-01-01 00:00:00.000000214						
215	1970-01-01 00:00:00.000000215						
216	1970-01-01 00:00:00.000000216						
217	1970-01-01 00:00:00.000000217						
218	1970-01-01 00:00:00.000000218	0.07070879	0.07070967	-26.295	0.009820665	2.515745e-14	5.403044169019842e-27
219	1970-01-01 00:00:00.000000219						
220	1970-01-01 00:00:00.000000220						
221	1970-01-01 00:00:00.000000221						
222	1970-01-01 00:00:00.000000222						
223	1970-01-01 00:00:00.000000223						
224	1970-01-01 00:00:00.000000224						
225	1970-01-01 00:00:00.000000225						
226	1970-01-01 00:00:00.000000226						
227	1970-01-01 00:00:00.000000227						
228	1970-01-01 00:00:00.000000228						
229	1970-01-01 00:00:00.000000229	0.07402778	0.07402869	-26.295	0.01028164	3.091087e-14	8.156948845047456e-27
230	1970-01-01 00:00:00.000000230						
231	1970-01-01 00:00:00.000000231						
232	1970-01-01 00:00:00.000000232						
233	1970-01-01 00:00:00.000000233						
234	1970-01-01 00:00:00.000000234						
235	1970-01-01 00:00:00.000000235						
236	1970-01-01 00:00:00.000000236						
237	1970-01-01 00:00:00.000000237						
238	1970-01-01 00:00:00.000000238						
239	1970-01-01 00:00:00.000000239	0.07734676	0.0773477	-26.295	0.01074261	4.081569e-14	1.4221963736853368e-26
240	1970-01-01 00:00:00.000000240						
241	1970-01-01 00:00:00.000000241						
242	1970-01-01 00:00:00.000000242						
243	1970-01-01 00:00:00.000000243						
